id,Model,weight,sources,perturbation,phenotype,expected_exists
48,MS15,1.0,TGFB_e=0; IFNG_e=0; IL2_e=1; IL4_e=1; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; RORGT=0; BCL6=0; IL9=0,true
49,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=1; IL4_e=0; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=1; RORGT=0; BCL6=0; IL9=0,true
50,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; ; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; RORGT=1; IL21=1; BCL6=0; IL9=0,true
51,MS15,1.0,TGFB_e=0; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; RORGT=0; IL21=1; BCL6=1; IL9=0,true
52,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=1; IL10_e=0; IL21_e=0; ; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,IL9=1,true
53,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; APC=1; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL15_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; GATA3=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
54,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
55,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
56,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=1; RORGT=0; BCL6=0; IL9=0,false
57,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=0; IL10_e=0; IL21_e=1; APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TCR=1,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; RORGT=1; IL21=1; BCL6=1; IL9=0,false
