id,perturbation,sources,phenotype,expected_exists,predicted_exists,agreement,weight,score,found_phenotypes
60,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 1, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL4': 1, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
61,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 1, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
62,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 1, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNG': 1, 'IL4': 0, 'IL9': 0, 'RORGT': 0, 'TBET': 1}",False,False,1.0,1.0,1.0,[]
63,{'TCR': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 0, 'IL10_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 1, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 1}","{'BCL6': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL4': 1, 'IL9': 0, 'RORGT': 0, 'TBET': 0}",False,False,1.0,1.0,1.0,[]
64,"{'TBET': 1, 'TCR': 1}","{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}",{'GATA3': 1},False,False,1.0,1.0,1.0,[]
65,"{'TBET': 1, 'TCR': 1}","{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}",{'FOXP3': 1},False,True,0.0,1.0,0.0,"[{'APC': 1, 'DLL1': 0, 'FOXP3': 1, 'GATA3': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFBR': 1, 'TGFB_e': 1}]"
66,"{'TBET': 1, 'TCR': 1}","{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}",{'RORGT': 1},False,False,1.0,1.0,1.0,[]
67,"{'TBET': 1, 'TCR': 1}","{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}",{'BCL6': 1},False,False,1.0,1.0,1.0,[]
68,{'GATA3': 1},"{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}","{'IFNG': 1, 'TBET': 1}",False,False,1.0,1.0,1.0,[]
69,"{'FOXP3': 1, 'TCR': 1}","{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}",{'TBET': 1},False,True,0.0,1.0,0.0,"[{'APC': 1, 'DLL1': 0, 'GATA3': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'STAT1': 1, 'STAT1_2': 1, 'TBET': 1, 'TBET_2': 1}]"
70,"{'FOXP3': 1, 'TCR': 1}","{'APC': 1, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL6_e': 0, 'IL7_e': 0}",{'GATA3': 1},False,False,1.0,1.0,1.0,[]
71,{'TCR': 1},"{'APC': 0, 'DLL1': 0, 'IFNA_e': 0, 'IFNB_e': 0, 'IFNG_e': 1, 'IL10_e': 0, 'IL12_e': 0, 'IL15_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21_e': 0, 'IL23_e': 0, 'IL25_e': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4_e': 0, 'IL6_e': 0, 'IL7_e': 0, 'TGFB_e': 0}","{'FOXP3': 0, 'GATA3': 0, 'IFNG': 1, 'IL17': 0, 'IL4': 0, 'RORGT': 0, 'TBET': 1, 'TGFB': 0}",True,False,0.0,1.0,0.0,[]
