BBM node,Model,Input in original,Our notation,Input in merge
IGF1R_T,Z21,,IGF1R_T,constant 1
IGF1R_T_2,Z21,,IGF1R_T_2,constant 0
Ipatasertib,Z21,input,Ipatasertib,input
KMT2D,Z21,,KMT2D,
MAPK,Z21,,MAPK,
MAPK_2,Z21,,MAPK_2,
MCL1,Z21,,MCL1,
MCL1_T,Z21,input,MCL1_T,input
MYC,Z21,,MYC,
MYC_2,Z21,,MYC_2,
MYC_T,Z21,input,MYC_T,constant 0
MYC_targets,Z21,,MYC_targets,
MYC_targets_2,Z21,,MYC_targets_2,
Navitoclax,Z21,input,Navitoclax,input
Neratinib,Z21,input,Neratinib,input
PBX1,Z21,input,PBX1,constant 1
PDK1,Z21,input,PDK1,input
PDK1_pm,Z21,,PDK1_pm,
PI3K,Z21,,PI3K,
PI3K_2,Z21,,PI3K_2,
PIM,Z21,input,PIM,
PIP3,Z21,,PIP3,
PIP3_2,Z21,,PIP3_2,
PRAS40,Z21,,PRAS40,
PTEN,Z21,,PTEN,
PTEN_2,Z21,,PTEN_2,
PTEN_T,Z21,,PTEN_T,constant 1
PTEN_T_2,Z21,,PTEN_T_2,constant 0
Palbociclib,Z21,input,Palbociclib,input
Proliferation,Z21,,Proliferation,
Proliferation_2,Z21,,Proliferation_2,
Proliferation_3,Z21,,Proliferation_3,
RAS,Z21,,RAS,
RAS_2,Z21,,RAS_2,
RAS_3,Z21,,RAS_3,
Rb_T,Z21,input,Rb_T,constant 1
S63845,Z21,input,S63845,input
S6K,Z21,,S6K,
SGK1,Z21,,SGK1,
SGK1_T,Z21,input,SGK1_T,input
TSC,Z21,,TSC2,
Trametinib,Z21,input,Trametinib,input
Translation,Z21,,Translation,
cycD_CDK46,Z21,,CYCLINDc,
cycD_CDK46_2,Z21,,CYCLINDc_2,
cycE_CDK2,Z21,,cycE_CDK2,
cycE_CDK2_T,Z21,,cycE_CDK2T,
cyclinD,Z21,,CyclinD1,
cyclinD_2,Z21,,CyclinD_2,
mTORC1,Z21,,mTORC1,
mTORC2,Z21,,mTORC2,
mTORC2_pm,Z21,,mTORC2_pm,
p21_T,Z21,,p21_T,
p21_T_2,Z21,,p21_T_2,
p21_p27,Z21,,p21_p27,
p21_p27_T,Z21,,p21_p27_T,
p27_T,Z21,input,p27_T,input
pRb,Z21,,pRB,
pRb_2,Z21,,pRB_2,
ABL1,TGEN,,ABL1,
ABL2,TGEN,,ABL2,
AKT_i,TGEN,,AKT,
APC,TGEN,,APC,
AXIN1,TGEN,,AXIN1,
BAD,TGEN,,BAD,
BAK1,TGEN,,BAK1,
BAX,TGEN,,BAX,
BCL2,TGEN,,BCL2,
BCLXL,TGEN,,BCLXL,
BID,TGEN,,BID,
BIM,TGEN,,BIM,
CASP3,TGEN,,CASP3,
CASP8,TGEN,,CASP8,
CASP9,TGEN,,CASP9,
CDKN2A,TGEN,,CDKN2A,
CEBPB,TGEN,,CEBPB,
CREB1,TGEN,,CREB1,
CTNNB1,TGEN,,CTNNB1,
CYCLIN_D_c,TGEN,,CYCLINDc,
CYCS,TGEN,,CYCS,
DC,TGEN,,DC,
DLL_i,TGEN,input,DLL,input
DVL1,TGEN,,DVL1,
E2F1,TGEN,,E2F,
EGF,TGEN,input,EGF,input
EGFR,TGEN,,EGFR,
EIF4E,TGEN,,EIF4,
ERK_i,TGEN,,ERK,
ES,TGEN,input,ES,input
ESR1,TGEN,,ESR1,
FADD,TGEN,,FADD,
FAS,TGEN,,FAS,
FASLG,TGEN,,FASLG,
FOXO1,TGEN,,FOXO1,
FOXO3,TGEN,,FOXO3,
FZD3,TGEN,,FZD3,
GATA3,TGEN,,GATA3,
GRB2,TGEN,,GRB2,
GRB7,TGEN,,GRB7,
GSK3B,TGEN,,GSK3B,
HER2,TGEN,,HER2,
HER3,TGEN,,HER3,
HES1,TGEN,,HES1,
HEY1,TGEN,,HEY1,
HRAS,TGEN,,HRAS,
HSP90AA1,TGEN,,HSP90AA1,
IGF1,TGEN,input,IGF1,input
IGF1R,TGEN,,IGF1R,
IL1B,TGEN,,IL1B,
IL6,TGEN,,IL6,
IL6R,TGEN,,IL6R,
IL8,TGEN,,IL8,
INS,TGEN,input,INS,input
INSR,TGEN,,INSR,
IRS1,TGEN,,IRS1,
IVEBP1,TGEN,,EIF4EBP1,
JAK2,TGEN,,JAK2,
JUN,TGEN,,JUN,
KMT2D,TGEN,,KMT2D,
KRT14,TGEN,,KRT14,
LATS1,TGEN,,LATS1,
LCK,TGEN,,LCK,
MAPK8,TGEN,,MAPK8,
MCL1,TGEN,,MCL1,
MDM2,TGEN,,MDM2,
MEK_i,TGEN,,MEK,
MTORC1_c,TGEN,,mTORC1,
MTORC2_c,TGEN,,mTORC2,
MYC,TGEN,,MYC,
MYOD1,TGEN,,MYOD1,
MYOG,TGEN,,MYOG,
NCID,TGEN,,NICD,
NEDD4L,TGEN,,NEDD4L,
NF1,TGEN,,NF1,
NF2,TGEN,,NF2,
NFKB1,TGEN,,NFKB,
NOS3,TGEN,,NOS3,
NOTCH1,TGEN,,NOTCH1,
NRG1,TGEN,input,NRG1,input
P21,TGEN,,p21,
P53,TGEN,,p53,
PAK1,TGEN,,PAK1,
PAK2,TGEN,,PAK2,
PAX7,TGEN,,PAX7,
PDPK1,TGEN,,PDK1_pm,
PG,TGEN,input,PG,input
PGR,TGEN,,PGR,
PI3K_c,TGEN,,PI3K,
PIM,TGEN,,PIM,
PIP3,TGEN,,PIP3,
PPARG,TGEN,,PPARG,
PRB,TGEN,,RB,
PRKAA2,TGEN,,PRKAA2,
PRKACA,TGEN,,PRKACA,
PTEN,TGEN,,PTEN,
RAC1,TGEN,,RAC1,
RAF1,TGEN,,RAF1,
RAS_i,TGEN,,RAS,
RELA,TGEN,,RELA,
RHEB,TGEN,,RHEB,
RND1,TGEN,,RND1,
S6K1,TGEN,,S6K,
SGK1,TGEN,,SGK1,
SOS1,TGEN,,SOS1,
SRC,TGEN,,SRC,
STAT1,TGEN,,STAT1,
STAT3,TGEN,,STAT3,
STAT5,TGEN,,STAT5,
STK11,TGEN,,STK11,
TCF4,TGEN,,TCF7L2,
TEAD1,TGEN,,TEAD1,
TRADD,TGEN,,TRADD,
TSC2,TGEN,,TSC2,
TWIST1,TGEN,,TWIST1,
WNT1,TGEN,,WNT1,input
YAP1,TGEN,,YAP1,
ABL1,MCF7,,ABL1,
ABL2,MCF7,,ABL2,
AKT_i,MCF7,,AKT,
APC,MCF7,,APC,
AXIN1,MCF7,,AXIN1,
BAD,MCF7,,BAD,
BAK1,MCF7,,BAK1,
BAX,MCF7,,BAX,
BCL2,MCF7,,BCL2,
BCLXL,MCF7,,BCLXL,
BID,MCF7,,BID,
BIM,MCF7,,BIM,
CASP3,MCF7,,CASP3,
CASP8,MCF7,,CASP8,
CASP9,MCF7,,CASP9,
CDKN2A,MCF7,,CDKN2A,
CEBPB,MCF7,,CEBPB,
CREB1,MCF7,,CREB1,
CTNNB1,MCF7,,CTNNB1,
CYCLIN_D_c,MCF7,,CYCLINDc,
CYCS,MCF7,,CYCS,
DC,MCF7,,DC,
DLL_i,MCF7,input,DLL,input
DVL1,MCF7,,DVL1,
E2F1,MCF7,,E2F,
EGF,MCF7,input,EGF,input
EGFR,MCF7,,EGFR,
EIF4E,MCF7,,EIF4,
ERK_i,MCF7,,ERK,
ES,MCF7,input,ES,input
ESR1,MCF7,,ESR1,
FADD,MCF7,,FADD,
FAS,MCF7,,FAS,
FASLG,MCF7,,FASLG,
FOXO1,MCF7,,FOXO1,
FOXO3,MCF7,,FOXO3,
FZD3,MCF7,,FZD3,
GATA3,MCF7,,GATA3,
GRB2,MCF7,,GRB2,
GRB7,MCF7,,GRB7,
GSK3B,MCF7,,GSK3B,
HER2,MCF7,,HER2,
HER3,MCF7,,HER3,
HES1,MCF7,,HES1,
HEY1,MCF7,,HEY1,
HRAS,MCF7,,HRAS,
HSP90AA1,MCF7,,HSP90AA1,
IGF1,MCF7,input,IGF1,input
IGF1R,MCF7,,IGF1R,
IL1B,MCF7,,IL1B,
IL6,MCF7,,IL6,
IL6R,MCF7,,IL6R,
IL8,MCF7,,IL8,
INS,MCF7,input,INS,input
INSR,MCF7,,INSR,
IRS1,MCF7,,IRS1,
IVEBP1,MCF7,,EIF4EBP1,
