index,BS,HS,SS,BL,HL,SL,Z17,Z21,TGEN,MCF7,T47D,Our notation,Input in merge,Notes
65,,,,TSC2,TSC2,TSC2,TSC,TSC,TSC2,TSC2,TSC2,TSC2,,
66,,,,Nfkb,,Nfkb,,,NFKB1,NFKB1,NFKB1,NFKB,,
67,,,,,,BAX,,,BAX,BAX,BAX,BAX,,
68,,,,,,,Apoptosis,Apoptosis,,,,Apoptosis,,
69,,,,,,,Apoptosis_2,Apoptosis_2,,,,Apoptosis_2,,
70,,,,,,,Apoptosis_3,Apoptosis_3,,,,Apoptosis_3,,
71,,,,,,,BAD,BAD,BAD,BAD,BAD,BAD,,
72,,,,,,,BCL2,BCL2,BCL2,BCL2,BCL2,BCL2,,
73,,,,,,,BIM,BIM,BIM,BIM,BIM,BIM,,
74,,,,,,,CDK46,CDK46,,,,CDK46,,merged node representative of CDK4 or CDK6
75,,,,,,,E2F,E2F,E2F1,E2F1,E2F1,E2F,,
76,,,,,,,E2F_2,E2F_2,,,,E2F_2,,
77,,,,,,,E2F_3,,,,,E2F_3,,
78,,,,,,,EIF4F,EIF4F,EIF4E,EIF4E,EIF4E,EIF4,,The EIF4F node of Z17 and Z21 also includes EIF4E and EIF4A. We choose to use a generic EIF4 notation.
79,,,,,,,ER_transcription,ER_transcription,,,,ER_transcription,,
80,,,,,,,ER_transcription_2,ER_transcription_2,,,,ER_transcription_2,,
81,,,,,,,ESR1,ESR1,ESR1,ESR1,ESR1,ESR1,,Estrogen receptor
82,,,,,,,ESR1_2,ESR1_2,,,,ESR1_2,,
83,,,,,,,FOXA1,FOXA1,,,,FOXA1,,FOXA1 is an input in Z21
84,,,,,,,FOXO3,FOXO3,FOXO3,FOXO3,FOXO3,FOXO3,,
85,,,,,,,FOXO3_Ub,FOXO3_Ub,,,,FOXO3_Ub,,
86,,,,,,,HER2_3,HER2_3,,,,HER2HER3c,,Complex formed by HER2 and HER3
87,,,,,,,HER2_3_2,HER2_3_2,,,,HER2HER3c_2,,
88,,,,,,,HER3_2,HER3_2,,,,HER3_2,,
89,,,,,,,IGF1R,IGF1R,IGF1R,IGF1R,IGF1R,IGF1R,,
90,,,,,,,IGF1R_2,IGF1R_2,,,,IGF1R_2,,
91,,,,,,,KMT2D,KMT2D,KMT2D,KMT2D,KMT2D,KMT2D,,
92,,,,,,,MAPK,MAPK,,,,MAPK,,"Merger of RAF, ERK and MEK, specific to the Z17 and Z21 models"
93,,,,,,,MAPK_2,MAPK_2,,,,MAPK_2,,
94,,,,,,,MCL1,MCL1,MCL1,MCL1,MCL1,MCL1,,
95,,,,,,,MYC,MYC,MYC,MYC,MYC,MYC,,
96,,,,,,,MYC_2,MYC_2,,,,MYC_2,,
97,,,,,,,PI3K,PI3K,PI3K_c,PI3K_c,PI3K_c,PI3K,,
98,,,,,,,PI3K_2,PI3K_2,,,,PI3K_2,,
99,,,,,,,PIP3,PIP3,PIP3,PIP3,PIP3,PIP3,,
100,,,,,,,PIP3_2,PIP3_2,,,,PIP3_2,,
101,,,,,,,RAS,RAS,RAS_i,RAS_i,RAS_i,RAS,,
102,,,,,,,RAS_2,RAS_2,,,,RAS_2,,
103,,,,,,,RAS_3,RAS_3,,,,RAS_3,,
104,,,,,,,SGK1,SGK1,SGK1,SGK1,SGK1,SGK1,,
105,,,,,,,Translation,Translation,,,,Translation,,
106,,,,,,,cycD_CDK46,cycD_CDK46,CYCLIN_D_c,CYCLIN_D_c,CYCLIN_D_c,CYCLINDc,,complex formed by cyclin D and CDK4 or CDK6
107,,,,,,,cycD_CDK46_2,cycD_CDK46_2,,,,CYCLINDc_2,,
108,,,,,,,cycE_CDK2,cycE_CDK2,,,,cycE_CDK2,,
109,,,,,,,cycE_CDK2_T,cycE_CDK2_T,,,,cycE_CDK2T,,
110,,,,,,,cyclinD_2,cyclinD_2,,,,CyclinD_2,,
111,,,,,,,mTORC2,mTORC2,MTORC2_c,MTORC2_c,MTORC2_c,mTORC2,,
112,,,,,,,mTORC2_pm,mTORC2_pm,,,,mTORC2_pm,,
113,,,,,,,p21_p27,p21_p27,,,,p21_p27,,merger of p21 and p27
114,,,,,,,p21_p27_T,p21_p27_T,,,,p21_p27_T,,
115,,,,,,,pRb_2,pRb_2,,,,pRB_2,,
116,,,,,,,pRb_3,,,,,pRB_3,,
117,,,,,,,Proliferation,Proliferation,,,,Proliferation,,
118,,,,,,,Proliferation_2,Proliferation_2,,,,Proliferation_2,,
119,,,,,,,Proliferation_3,Proliferation_3,,,,Proliferation_3,,
120,,,,,,,Proliferation_4,,,,,Proliferation_4,,
121,,,,,,,,BCLXL,BCLXL,BCLXL,BCLXL,BCLXL,,
122,,,,,,,,ER_transcription_feedback_1,,,,ER_transcription_feedback_1,,
123,,,,,,,,ER_transcription_feedback_2,,,,ER_transcription_feedback_2,,
124,,,,,,,,MYC_targets,,,,MYC_targets,,
125,,,,,,,,MYC_targets_2,,,,MYC_targets_2,,
126,,,,,,,,p21_T,,,,p21_T,,
127,,,,,,,,p21_T_2,,,,p21_T_2,,
128,,,,,,,,,ABL1,ABL1,ABL1,ABL1,,
129,,,,,,,,,ABL2,ABL2,ABL2,ABL2,,
130,,,,,,,,,APC,APC,APC,APC,,
131,,,,,,,,,AXIN1,AXIN1,AXIN1,AXIN1,,
132,,,,,,,,,BAK1,BAK1,BAK1,BAK1,,
133,,,,,,,,,BID,BID,BID,BID,,
134,,,,,,,,,CASP3,CASP3,CASP3,CASP3,,
135,,,,,,,,,CASP8,CASP8,CASP8,CASP8,,
136,,,,,,,,,CASP9,CASP9,CASP9,CASP9,,
137,,,,,,,,,CDKN2A,CDKN2A,CDKN2A,CDKN2A,,
